"","phenotype","description","group"
"1","008","Intestinal infection","infectious diseases"
"2","008.5","Bacterial enteritis","infectious diseases"
"3","038.1","Gram negative septicemia","infectious diseases"
"4","320","Meningitis","neurological"
"5","480.1","Bacterial pneumonia","respiratory"
"6","711","Arthropathy associated with infections","musculoskeletal"
"7","710.1","Osteomyelitis","musculoskeletal"
"8","008.7","Intestinal infection due to protozoa","infectious diseases"
"9","008.51","Intestinal e.coli","infectious diseases"
"10","008.52","Intestinal infection due to C. difficile","infectious diseases"
"11","008.6","Viral Enteritis","infectious diseases"
"12","010","Tuberculosis","infectious diseases"
"13","041","Bacterial infection NOS","infectious diseases"
"14","686","Other local infections of skin and subcutaneous tissue","dermatologic"
"15","369","Infection of the eye","sense organs"
"16","038.2","Gram positive septicemia","infectious diseases"
"17","031.1","Leprosy","infectious diseases"
"18","031","Diseases due to other mycobacteria","infectious diseases"
"19","465","Acute upper respiratory infections of multiple or unspecified sites","respiratory"
"20","420.1","Myocarditis","circulatory system"
"21","567","Peritonitis and retroperitoneal infections","digestive"
"22","592.1","Cystitis","genitourinary"
"23","041.2","Streptococcus infection","infectious diseases"
"24","323","Encephalitis","neurological"
"25","420","Carditis","circulatory system"
"26","420.2","Pericarditis","circulatory system"
"27","420.3","Endocarditis","circulatory system"
"28","038","Septicemia","infectious diseases"
"29","657","Infections specific to the perinatal period","pregnancy complications"
"30","041.1","Staphylococcus infections","infectious diseases"
"31","041.11","Methicillin sensitive Staphylococcus aureus","infectious diseases"
"32","041.12","Methicillin resistant Staphylococcus aureus","infectious diseases"
"33","041.4","E. coli","infectious diseases"
"34","041.8","H. pylori","infectious diseases"
"35","071.1","HIV infection, symptomatic","infectious diseases"
"36","071","Human immunodeficiency virus [HIV] disease","infectious diseases"
"37","324","Other CNS infection and poliomyelitis","neurological"
"38","324.1","Jakob-Creutzfeldt disease","neurological"
"39","079","Viral infection","infectious diseases"
"40","079.1","Varicella infection","infectious diseases"
"41","480.2","Viral pneumonia","respiratory"
"42","053","Herpes zoster","infectious diseases"
"43","053.1","Herpes zoster with nervous system complications","infectious diseases"
"44","369.2","Eye infection, viral","sense organs"
"45","054","Herpes simplex","infectious diseases"
"46","381.1","Otitis media","sense organs"
"47","070","Viral hepatitis","infectious diseases"
"48","070.1","Viral hepatitis A","infectious diseases"
"49","070.2","Viral hepatitis B","infectious diseases"
"50","070.3","Viral hepatitis C","infectious diseases"
"51","079.2","Infectious mononucleosis","infectious diseases"
"52","078","Viral warts & HPV","infectious diseases"
"53","136","Other infectious and parasitic diseases","infectious diseases"
"54","133","Arthropod-borne diseases","infectious diseases"
"55","130","Spirochetal infection","infectious diseases"
"56","130.1","Lyme disease","infectious diseases"
"57","090","Sexually transmitted infections (not HIV or hepatitis)","infectious diseases"
"58","090.2","Gonococcal infections","infectious diseases"
"59","711.2","Reiter's disease","musculoskeletal"
"60","090.3","Venereal diseases due to Chlamydia trachomatis","infectious diseases"
"61","110","Dermatophytosis / Dermatomycosis","infectious diseases"
"62","110.1","Dermatophytosis","infectious diseases"
"63","110.11","Dermatophytosis of nail","infectious diseases"
"64","110.13","Dermatophytosis of the body","infectious diseases"
"65","110.12","Althete's foot","infectious diseases"
"66","110.2","Dermatomycoses","infectious diseases"
"67","112","Candidiasis","infectious diseases"
"68","112.3","Candidiasis of skin and nails","infectious diseases"
"69","480.3","Pneumonia due to fungus (mycoses)","respiratory"
"70","117.2","Coccidioidomycosis","infectious diseases"
"71","117.1","Histoplasmosis","infectious diseases"
"72","117.3","Blastomycotic infection","infectious diseases"
"73","117","Mycoses","infectious diseases"
"74","117.4","Aspergillosis","infectious diseases"
"75","134","Helminthiases","infectious diseases"
"76","134.1","Intestinal helminthiases","infectious diseases"
"77","131","Protozoan infection","infectious diseases"
"78","480","Pneumonia","respiratory"
"79","132.1","Pediculosis and phthirus infestation","infectious diseases"
"80","132","Infestation (lice, mites)","infectious diseases"
"81","697","Sarcoidosis","dermatologic"
"82","711.3","Behcet's syndrome","musculoskeletal"
"83","145.1","Cancer of lip","neoplasms"
"84","145.2","Cancer of tongue","neoplasms"
"85","145.3","Cancer of major salivary glands","neoplasms"
"86","145.4","Cancer of the gums","neoplasms"
"87","145.5","Cancer of the mouth floor","neoplasms"
"88","145","Cancer of mouth","neoplasms"
"89","149.1","Cancer of oropharynx","neoplasms"
"90","149.2","Cancer of nasopharynx","neoplasms"
"91","149.3","Cancer of hypopharynx","neoplasms"
"92","149","Cancer of larynx, pharynx, nasal cavities","neoplasms"
"93","150","Cancer of esophagus","neoplasms"
"94","151","Cancer of stomach","neoplasms"
"95","159.2","Malignant neoplasm of small intestine, including duodenum","neoplasms"
"96","153.2","Colon cancer","neoplasms"
"97","153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","neoplasms"
"98","153","Colorectal cancer","neoplasms"
"99","155","Cancer of liver and intrahepatic bile duct","neoplasms"
"100","155.1","Malignant neoplasm of liver, primary","neoplasms"
"101","159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","neoplasms"
"102","157","Pancreatic cancer","neoplasms"
"103","159.4","Malignant neoplasm of retroperitoneum and peritoneum","neoplasms"
"104","159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","neoplasms"
"105","149.9","Cancer of of nasal cavities","neoplasms"
"106","149.4","Cancer of larynx","neoplasms"
"107","165.1","Cancer of bronchus; lung","neoplasms"
"108","165","Cancer within the respiratory system","neoplasms"
"109","164","Cancer of intrathoracic organs","neoplasms"
"110","170","Cancer of bone and connective tissue","neoplasms"
"111","170.1","Bone cancer","neoplasms"
"112","170.2","Cancer of connective tissue","neoplasms"
"113","172.11","Melanomas of skin","neoplasms"
"114","172.2","Other non-epithelial cancer of skin","neoplasms"
"115","172.21","Basal cell carcinoma","neoplasms"
"116","172.22","Squamous cell carcinoma","neoplasms"
"117","174.11","Malignant neoplasm of female breast","neoplasms"
"118","174.2","Breast cancer [male]","neoplasms"
"119","230","Kaposi's sarcoma","neoplasms"
"120","182","Malignant neoplasm of uterus","neoplasms"
"121","180","Cervical cancer and dysplasia","neoplasms"
"122","180.1","Cervical cancer","neoplasms"
"123","184.1","Malignant neoplasm of ovary and other uterine adnexa","neoplasms"
"124","184.11","Malignant neoplasm of ovary","neoplasms"
"125","184.2","Cancer of other female genital organs (excluding uterus and ovary)","neoplasms"
"126","185","Cancer of prostate","neoplasms"
"127","187.2","Malignant neoplasm of testis","neoplasms"
"128","187","Cancer of other male genital organs","neoplasms"
"129","187.1","Malignant neoplasm of unspecified male genital organ","neoplasms"
"130","189.21","Malignant neoplasm of bladder","neoplasms"
"131","189.4","Malignant neoplasm of other urinary organs","neoplasms"
"132","189.11","Malignant neoplasm of kidney, except pelvis","neoplasms"
"133","189.12","Malignant neoplasm of renal pelvis","neoplasms"
"134","190","Cancer of eye","neoplasms"
"135","191.11","Cancer of brain","neoplasms"
"136","191.1","Cancer of brain and nervous system","neoplasms"
"137","193","Thyroid cancer","neoplasms"
"138","194","Cancer of other endocrine glands","neoplasms"
"139","195.1","Malignant neoplasm, other","neoplasms"
"140","198.1","Secondary malignancy of lymph nodes","neoplasms"
"141","198","Secondary malignant neoplasm","neoplasms"
"142","198.2","Secondary malignancy of respiratory organs","neoplasms"
"143","198.3","Secondary malignant neoplasm of digestive systems","neoplasms"
"144","198.4","Secondary malignant neoplasm of liver","neoplasms"
"145","198.7","Secondary malignant neoplasm of skin","neoplasms"
"146","198.5","Secondary malignancy of brain/spine","neoplasms"
"147","198.6","Secondary malignancy of bone","neoplasms"
"148","851","Complications of transplants and reattached limbs","injuries & poisonings"
"149","202.2","Non-Hodgkins lymphoma","neoplasms"
"150","202.22","Reticulosarcoma","neoplasms"
"151","202.23","Lymphosarcoma","neoplasms"
"152","202.24","Large cell lymphoma","neoplasms"
"153","201","Hodgkin's disease","neoplasms"
"154","202","Cancer of other lymphoid, histiocytic tissue","neoplasms"
"155","202.21","Nodular lymphoma","neoplasms"
"156","204","Leukemia","neoplasms"
"157","204.4","Multiple myeloma","neoplasms"
"158","204.1","Lymphoid leukemia","neoplasms"
"159","204.11","Lymphoid leukemia, acute","neoplasms"
"160","204.12","Lymphoid leukemia, chronic","neoplasms"
"161","204.2","Myeloid leukemia","neoplasms"
"162","204.21","Myeloid leukemia, acute","neoplasms"
"163","204.22","Myeloid leukemia, chronic","neoplasms"
"164","204.3","Monocytic leukemia","neoplasms"
"165","199","Neoplasm of uncertain behavior","neoplasms"
"166","195","Cancer, suspected or other","neoplasms"
"167","189.1","Cancer of kidney and renal pelvis","neoplasms"
"168","209","Neuroendocrine tumors","neoplasms"
"169","208","Benign neoplasm of colon","neoplasms"
"170","210","Benign neoplasm of lip, oral cavity, and pharynx","neoplasms"
"171","211","Benign neoplasm of other parts of digestive system","neoplasms"
"172","212","Benign neoplasm of respiratory and intrathoracic organs","neoplasms"
"173","213","Benign neoplasm of bone and articular cartilage","neoplasms"
"174","214","Lipoma","neoplasms"
"175","214.1","Lipoma of skin and subcutaneous tissue","neoplasms"
"176","215","Other benign neoplasm of connective and other soft tissue","neoplasms"
"177","216","Benign neoplasm of skin","neoplasms"
"178","610.4","Benign neoplasm of breast","genitourinary"
"179","218.1","Uterine leiomyoma","neoplasms"
"180","218","Benign neoplasm of uterus","neoplasms"
"181","218.2","Other benign neoplasm of uterus","neoplasms"
"182","220","Benign neoplasm of ovary","neoplasms"
"183","221","Benign neoplasm of other female genital organs","neoplasms"
"184","222","Benign neoplasm of male genital organs","neoplasms"
"185","223","Benign neoplasm of kidney and other urinary organs","neoplasms"
"186","224","Benign neoplasm of eye","neoplasms"
"187","224.1","Benign neoplasm of eye, uveal","neoplasms"
"188","225","Benign neoplasm of brain and other parts of nervous system","neoplasms"
