"phenotype","PhecodeString","group","training.case","training.ctrl","internal.case","internal.ctrl","external.case","external.ctrl","MIMIC_png.case","MIMIC_png.ctrl"
"008","Intestinal infection","Infectious diseases",1440,208529,576,89183,726,76918,78,60040
"008.5","Bacterial enteritis","Infectious diseases",101,212499,54,90788,49,79661,39,60197
"008.52","Intestinal infection due to C. difficile","Infectious diseases",60,212607,27,90870,17,79749,702,58937
"008.6","Viral Enteritis","Infectious diseases",295,212020,104,90638,54,79526,324,59309
"010","Tuberculosis","Infectious diseases",749,208997,316,89327,324,77498,111,60032
"031","Diseases due to other mycobacteria","Infectious diseases",51,212585,23,90857,27,79687,18,60248
"038","Septicemia","Infectious diseases",3379,206454,1445,88229,1207,76878,1730,57691
"038.1","Gram negative septicemia","Infectious diseases",340,211909,183,90545,139,79415,695,59087
"038.2","Gram positive septicemia","Infectious diseases",151,212433,59,90797,48,79676,337,59720
"038.3","Bacteremia","Infectious diseases",617,211636,256,90428,189,79375,712,58738
"041","Bacterial infection NOS","Infectious diseases",1407,210067,605,89770,482,78499,1394,57549
"041.1","Staphylococcus infections","Infectious diseases",53,212620,17,90872,21,79741,208,59793
"041.11","Methicillin sensitive Staphylococcus aureus","Infectious diseases",95,212534,45,90817,41,79701,429,59280
"041.12","Methicillin resistant Staphylococcus aureus","Infectious diseases",60,212618,20,90862,17,79737,384,59281
"041.2","Streptococcus infection","Infectious diseases",280,212012,124,90627,102,79412,854,58530
"041.4","E. coli","Infectious diseases",855,211203,350,90289,314,79106,1235,57809
"041.8","H. pylori","Infectious diseases",1285,209157,569,89390,256,78179,129,59980
"041.9","Infection with drug-resistant microorganisms","Infectious diseases",168,212439,68,90792,60,79657,290,59683
"053","Herpes zoster","Infectious diseases",367,210618,151,90007,168,78319,109,59968
"053.1","Herpes zoster with nervous system complications","Infectious diseases",292,210688,128,90011,138,78254,46,60142
"054","Herpes simplex","Infectious diseases",370,211042,170,90160,167,78404,207,59791
"070","Viral hepatitis","Infectious diseases",359,212084,169,90635,112,79543,37,60216
"070.1","Viral hepatitis A","Infectious diseases",36,212660,27,90872,17,79751,10,60255
"070.2","Viral hepatitis B","Infectious diseases",1286,209122,546,89411,404,77880,173,59818
"070.3","Viral hepatitis C","Infectious diseases",510,211406,225,90326,134,79220,904,58172
