"phenotype","PhecodeString","group","training.n","training.event","training.preid","internal.n","internal.event","internal.preid","external.n","external.event","external.preid","MIMIC_png.n","MIMIC_png.event","MIMIC_png.preid"
"008","Intestinal infection","Infectious diseases",162996,2660,"1387 (472-2465)",70011,1172,"1391 (474-2468)",63672,1695,"1650 (718-2773)",29462,125,"934 (355-1534.75)"
"008.5","Bacterial enteritis","Infectious diseases",166299,199,"1404 (488-2485)",71327,76,"1411 (491-2493)",66014,155,"1687 (752-2811)",29558,52,"936 (356-1538)"
"008.52","Intestinal infection due to C. difficile","Infectious diseases",166405,203,"1405 (489-2486)",71394,89,"1413 (492-2493)",66083,112,"1691 (754-2814)",28899,710,"929 (354-1530)"
"008.6","Viral Enteritis","Infectious diseases",165931,433,"1403 (486-2484)",71212,197,"1409 (488-2489.25)",65888,229,"1686 (751-2808)",28923,528,"920 (349-1519)"
"010","Tuberculosis","Infectious diseases",163268,931,"1398 (484-2475)",70055,405,"1406 (487-2483)",64030,483,"1679 (745-2801)",29470,94,"935 (356.25-1537)"
"031","Diseases due to other mycobacteria","Infectious diseases",166365,163,"1405 (489-2485)",71376,68,"1412 (491-2492)",66025,134,"1690 (753-2813)",29596,15,"937 (357-1539)"
"038","Septicemia","Infectious diseases",161730,1360,"1407 (500-2478)",69379,623,"1414 (500-2483)",63699,715,"1697 (770-2813)",28484,452,"934 (357-1537)"
"038.1","Gram negative septicemia","Infectious diseases",165840,504,"1404 (489-2485)",71145,202,"1412 (492-2492)",65803,240,"1690 (754-2813)",28992,307,"934 (356-1535)"
"038.2","Gram positive septicemia","Infectious diseases",166251,293,"1405 (489-2486)",71342,141,"1413 (492-2493)",66024,110,"1691 (754-2815)",29324,227,"935 (356-1536)"
"038.3","Bacteremia","Infectious diseases",165632,1049,"1405 (488-2485)",71050,425,"1411 (491-2492)",65769,491,"1690 (752-2813)",28681,610,"932 (355-1530)"
"041","Bacterial infection NOS","Infectious diseases",164394,2487,"1398 (481-2480)",70553,1091,"1402 (482-2485)",65009,1255,"1675 (740-2802)",28043,1470,"925 (353-1524)"
"041.1","Staphylococcus infections","Infectious diseases",166398,154,"1405 (488-2486)",71392,63,"1412 (491-2493)",66079,70,"1690 (755-2813)",29297,275,"934 (357-1537)"
"041.11","Methicillin sensitive Staphylococcus aureus","Infectious diseases",166336,233,"1405 (489-2486)",71352,97,"1413 (491-2493)",66042,114,"1690 (754-2814)",29017,407,"933 (355-1531)"
