"y","cluster","Phecode","Type","Disease","Group","AUC(Hold-out dataset)","Diff_AUC(Hold-out dataset)","AUC(External dataset)","Diff_AUC(External dataset)","AUC(MIMIC dataset)","Diff_AUC(MIMIC dataset)"
"426.91-survival",1,"426.91","Incident","Cardiac pacemaker in situ","Circulatory system","0.904 (0.897-0.912)","-0.027","0.899 (0.892-0.905)","-0.031","0.829 (0.822-0.836)","-0.064"
"427.42-survival",1,"427.42","Incident","Cardiac arrest","Circulatory system","0.890 (0.884-0.897)","-0.002","0.920 (0.914-0.926)","-0.000","0.760 (0.749-0.772)","0.000"
"797.1-survival",1,"797.1","Incident","Cardiogenic shock","Symptoms","0.900 (0.891-0.910)","-0.001","0.899 (0.887-0.911)","-0.004","0.818 (0.807-0.829)","-0.008"
"395.6-survival",1,"395.6","Incident","Heart valve replaced","Circulatory system","0.919 (0.909-0.929)","-0.026","0.924 (0.914-0.934)","-0.026","0.852 (0.844-0.860)","-0.027"
"426.24-binary",1,"426.24","Prevalent","Atrioventricular block, complete","Circulatory system","0.905 (0.879-0.931)","-0.020","0.888 (0.846-0.931)","-0.022","0.793 (0.774-0.812)","-0.048"
"428.1-survival",1,"428.1","Incident","Congestive heart failure (CHF) NOS","Circulatory system","0.901 (0.897-0.905)","-0.004","0.888 (0.883-0.892)","0.001","0.806 (0.800-0.812)","-0.002"
"428.3-survival",1,"428.3","Incident","Heart failure with reduced EF [Systolic or combined heart failure]","Circulatory system","0.895 (0.890-0.901)","-0.002","0.888 (0.883-0.894)","-0.003","0.776 (0.770-0.783)","-0.006"
"503-binary",1,"503","Prevalent","Pulmonary congestion and hypostasis","Respiratory","0.925 (0.902-0.948)","0.003","0.935 (0.901-0.968)","0.002","0.837 (0.823-0.850)","0.005"
"290.1-survival",1,"290.1","Incident","Dementias","Mental disorders","0.869 (0.864-0.874)","-0.007","0.846 (0.842-0.851)","-0.007","0.814 (0.809-0.820)","-0.012"
"429.1-survival",1,"429.1","Incident","Heart transplant/surgery","Circulatory system","0.906 (0.886-0.927)","-0.008","0.881 (0.854-0.908)","-0.007","0.795 (0.777-0.813)","-0.015"
"401.2-survival",1,"401.2","Incident","Hypertensive heart and/or renal disease","Circulatory system","0.898 (0.893-0.903)","-0.004","0.878 (0.873-0.883)","-0.005","0.812 (0.808-0.817)","-0.005"
"428.2-survival",1,"428.2","Incident","Heart failure NOS","Circulatory system","0.881 (0.865-0.896)","0.004","0.890 (0.876-0.905)","-0.000","0.786 (0.768-0.804)","0.013"
"428.2-binary",1,"428.2","Prevalent","Heart failure NOS","Circulatory system","0.910 (0.890-0.930)","0.006","0.900 (0.873-0.926)","-0.002","0.805 (0.772-0.837)","0.020"
"442.1-binary",1,"442.1","Prevalent","Aortic aneurysm","Circulatory system","0.893 (0.870-0.916)","-0.011","0.868 (0.832-0.903)","-0.006","0.824 (0.803-0.846)","-0.013"
"394-survival",1,"394","Incident","Rheumatic disease of the heart valves","Circulatory system","0.897 (0.889-0.904)","-0.007","0.869 (0.860-0.877)","-0.009","0.829 (0.820-0.838)","-0.008"
"394.1-survival",1,"394.1","Incident","Mitral valve stenosis and aortic valve stenosis","Circulatory system","0.898 (0.884-0.911)","-0.003","0.900 (0.889-0.911)","-0.005","0.799 (0.788-0.810)","-0.012"
"394.1-binary",1,"394.1","Prevalent","Mitral valve stenosis and aortic valve stenosis","Circulatory system","0.872 (0.838-0.906)","0.002","0.905 (0.874-0.937)","0.001","0.832 (0.812-0.851)","-0.004"
"394.7-binary",1,"394.7","Prevalent","Disease of tricuspid valve","Circulatory system","0.878 (0.846-0.910)","0.004","0.901 (0.865-0.936)","-0.001","0.846 (0.830-0.862)","0.001"
"394.7-survival",1,"394.7","Incident","Disease of tricuspid valve","Circulatory system","0.901 (0.889-0.914)","0.004","0.903 (0.893-0.914)","-0.002","0.840 (0.829-0.851)","-0.004"
"427.8-binary",1,"427.8","Prevalent","Sinoatrial node dysfunction (Bradycardia)","Circulatory system","0.824 (0.784-0.865)","-0.031","0.879 (0.858-0.899)","-0.030","0.789 (0.770-0.808)","-0.049"
"427.8-survival",1,"427.8","Incident","Sinoatrial node dysfunction (Bradycardia)","Circulatory system","0.888 (0.876-0.900)","-0.007","0.870 (0.860-0.880)","-0.007","0.769 (0.754-0.783)","-0.011"
"411.9-survival",1,"411.9","Incident","Other acute and subacute forms of ischemic heart disease","Circulatory system","0.896 (0.883-0.908)","0.005","0.876 (0.861-0.891)","-0.000","0.774 (0.764-0.785)","0.001"
"743.21-survival",1,"743.21","Incident","Pathologic fracture of vertebrae","Musculoskeletal","0.883 (0.875-0.891)","-0.008","0.877 (0.870-0.884)","-0.008","0.760 (0.746-0.774)","-0.006"
"427.21-survival",1,"427.21","Incident","Atrial fibrillation","Circulatory system","0.883 (0.878-0.888)","-0.002","0.847 (0.842-0.852)","-0.002","0.760 (0.755-0.766)","-0.002"
"428.4-binary",1,"428.4","Prevalent","Heart failure with preserved EF [Diastolic heart failure]","Circulatory system","0.879 (0.830-0.928)","-0.009","0.877 (0.842-0.912)","-0.004","0.852 (0.846-0.859)","-0.000"
"428.4-survival",1,"428.4","Incident","Heart failure with preserved EF [Diastolic heart failure]","Circulatory system","0.885 (0.872-0.899)","-0.002","0.869 (0.856-0.883)","0.002","0.798 (0.793-0.803)","0.000"
"395.2-survival",1,"395.2","Incident","Nonrheumatic aortic valve disorders","Circulatory system","0.864 (0.854-0.874)","0.002","0.852 (0.844-0.861)","-0.002","0.764 (0.754-0.774)","-0.005"
"395.2-binary",1,"395.2","Prevalent","Nonrheumatic aortic valve disorders","Circulatory system","0.889 (0.869-0.909)","0.002","0.858 (0.836-0.879)","-0.002","0.821 (0.809-0.833)","-0.001"
"442.11-survival",1,"442.11","Incident","Abdominal aortic aneurysm","Circulatory system","0.887 (0.870-0.904)","0.002","0.877 (0.858-0.895)","0.000","0.774 (0.757-0.791)","-0.005"
"427.22-survival",1,"427.22","Incident","Atrial flutter","Circulatory system","0.873 (0.863-0.882)","-0.011","0.852 (0.842-0.863)","-0.007","0.744 (0.735-0.754)","-0.009"
"800.1-survival",1,"800.1","Incident","Fracture of neck of femur","Injuries & poisonings","0.861 (0.852-0.870)","-0.006","0.864 (0.856-0.873)","-0.005","0.801 (0.789-0.814)","-0.009"
"800.2-survival",1,"800.2","Incident","Fracture of unspecified part of femur","Injuries & poisonings","0.836 (0.824-0.849)","-0.007","0.840 (0.827-0.853)","-0.006","0.789 (0.775-0.803)","-0.011"
"394.2-survival",1,"394.2","Incident","Mitral valve disease","Circulatory system","0.840 (0.817-0.863)","0.002","0.801 (0.774-0.829)","-0.002","0.805 (0.772-0.837)","-0.003"
"496.21-survival",1,"496.21","Incident","Obstructive chronic bronchitis","Respiratory","0.834 (0.826-0.842)","0.000","0.808 (0.802-0.815)","-0.001","0.746 (0.736-0.756)","-0.001"
