"","phenotype","label","PhecodeString","group","label_type","internal.auc","internal.auc_txt","external.auc_txt","MIMIC_png.auc_txt"
"155","149.4","149.4","Cancer of larynx","Neoplasms","binary",0.867331997533909,"0.867 (0.810-0.924)","0.861 (0.775-0.947)","0.819 (0.766-0.873)"
"191","165.1","165.1","Cancer of bronchus; lung","Neoplasms","binary",0.903237736613532,"0.903 (0.892-0.914)","0.874 (0.858-0.890)","0.865 (0.853-0.877)"
"225","185","185","Cancer of prostate","Neoplasms","binary",0.882195228682796,"0.882 (0.868-0.897)","0.873 (0.860-0.886)","0.805 (0.792-0.818)"
"264","198","198","Secondary malignant neoplasm","Neoplasms","binary",0.898435525936746,"0.898 (0.882-0.915)","0.869 (0.844-0.894)","0.835 (0.823-0.848)"
"267","198.2","198.2","Secondary malignancy of respiratory organs","Neoplasms","binary",0.934485313279976,"0.934 (0.921-0.948)","0.922 (0.905-0.938)","0.819 (0.803-0.835)"
"271","198.4","198.4","Secondary malignant neoplasm of liver","Neoplasms","binary",0.892175701222333,"0.892 (0.874-0.910)","0.882 (0.857-0.907)","0.823 (0.808-0.837)"
"276","198.6","198.6","Secondary malignancy of bone","Neoplasms","binary",0.914660691700449,"0.915 (0.899-0.930)","0.899 (0.873-0.925)","0.805 (0.789-0.822)"
"457","260.1","260.1","Cachexia","Endocrine/metabolic","binary",0.9375191461035,"0.938 (0.925-0.950)","0.941 (0.925-0.958)","0.867 (0.851-0.882)"
"522","276.11","276.11","Hyperosmolality and/or hypernatremia","Endocrine/metabolic","binary",0.937026701920459,"0.937 (0.921-0.953)","0.939 (0.924-0.954)","0.847 (0.839-0.855)"
"555","278.11","278.11","Morbid obesity","Endocrine/metabolic","binary",0.927255625941413,"0.927 (0.902-0.953)","0.921 (0.880-0.961)","0.868 (0.860-0.876)"
"617","286.6","286.6","Defibrination syndrome","Hematopoietic","binary",0.923134244776943,"0.923 (0.894-0.953)","0.924 (0.882-0.967)","0.815 (0.785-0.845)"
"661","290.1","290.1","Dementias","Mental disorders","binary",0.923589958243196,"0.924 (0.915-0.932)","0.906 (0.894-0.918)","0.854 (0.848-0.861)"
